ŽÀ•”,‹••”
0.000671387,0
0.000274658,0
-0.000579834,0
-0.00167847,0
-0.00234985,0
-0.00299072,0
-0.00369263,0
-0.00378418,0
-0.00350952,0
-0.00320435,0
-0.00299072,0
-0.00357056,0
-0.00366211,0
-0.00262451,0
-0.0020752,0
-0.00204468,0
-0.0015564,0
-0.00115967,0
-0.000915527,0
-0.000274658,0
3.05176e-05,0
0.000274658,0
0.000335693,0
-6.10352e-05,0
-0.000457764,0
-0.000579834,0
-0.000610352,0
-0.000640869,0
-0.00112915,0
-0.00183105,0
-0.00247192,0
-0.00323486,0
-0.00357056,0
-0.00372314,0
-0.00402832,0
-0.00405884,0
-0.0038147,0
-0.00360107,0
-0.00326538,0
-0.00302124,0
-0.00247192,0
-0.00177002,0
-0.00134277,0
-0.000946045,0
-0.000274658,0
0.000549316,0
0.00088501,0
0.000610352,0
0.000610352,0
0.000976563,0
0.00125122,0
0.0017395,0
0.00164795,0
0.00112915,0
0.000976563,0
0.000793457,0
0.000640869,0
0.000732422,0
0.000488281,0
-0.000213623,0
-0.000610352,0
-0.000305176,0
0.000549316,0
0.000823975,0
0.000274658,0
3.05176e-05,0
0.000457764,0
0.00161743,0
0.00234985,0
0.00219727,0
0.00177002,0
0.00192261,0
0.00204468,0
0.0020752,0
0.00189209,0
0.00149536,0
0.00125122,0
0.00134277,0
0.00137329,0
0.00164795,0
0.00183105,0
0.00180054,0
0.00167847,0
0.00189209,0
0.00238037,0
0.00253296,0
0.0022583,0
0.00189209,0
0.00186157,0
0.00219727,0
0.00195313,0
0.00115967,0
0.000793457,0
0.00100708,0
0.00112915,0
0.0010376,0
0.000946045,0
0.0012207,0
0.00146484,0
0.00170898,0
0.00180054,0
0.0020752,0
0.00262451,0
0.00262451,0
0.00256348,0
0.00247192,0
0.00271606,0
0.00314331,0
0.0027771,0
0.00241089,0
0.00286865,0
0.00332642,0
0.00332642,0
0.00289917,0
0.00274658,0
0.00274658,0
0.00244141,0
0.00192261,0
0.00137329,0
0.00115967,0
0.00131226,0
0.0010376,0
0.000518799,0
0.000518799,0
0.000823975,0
0.00100708,0
0.00137329,0
0.00189209,0
0.00250244,0
0.00286865,0
0.00289917,0
0.00296021,0
0.00326538,0
0.00366211,0
0.00360107,0
0.00289917,0
0.00244141,0
0.0022583,0
0.00198364,0
0.0015564,0
0.00134277,0
0.00125122,0
0.00115967,0
0.00088501,0
0.000793457,0
0.000762939,0
0.0010376,0
0.000946045,0
0.000640869,0
9.15527e-05,0
0.00012207,0
0.000213623,0
0.00012207,0
0,0
0.00012207,0
-6.10352e-05,0
-0.000274658,0
-0.000427246,0
-0.000152588,0
0.000396729,0
0.000946045,0
0.000854492,0
0.000457764,0
0.000488281,0
0.00100708,0
0.00152588,0
0.00152588,0
0.00140381,0
0.00115967,0
0.00112915,0
0.00112915,0
0.00143433,0
0.00180054,0
0.00186157,0
0.00146484,0
0.00100708,0
0.00088501,0
0.00128174,0
0.0012207,0
0.000732422,0
0.00012207,0
-0.00012207,0
-0.000488281,0
-0.000976563,0
-0.00143433,0
-0.00149536,0
-0.00161743,0
-0.00216675,0
-0.00286865,0
-0.00314331,0
-0.00222778,0
-0.00137329,0
-0.00204468,0
-0.00271606,0
-0.00238037,0
-0.00183105,0
-0.00177002,0
-0.00192261,0
-0.00201416,0
-0.00201416,0
-0.00195313,0
-0.00186157,0
-0.00186157,0
-0.00170898,0
-0.00128174,0
-0.0012207,0
-0.00112915,0
-0.00100708,0
-0.000823975,0
-0.000793457,0
-0.000793457,0
-0.000671387,0
-0.000457764,0
-0.000549316,0
-0.000701904,0
-0.000732422,0
-0.000427246,0
0,0
-9.15527e-05,0
-0.000488281,0
-0.000366211,0
-0.000305176,0
-9.15527e-05,0
-6.10352e-05,0
-0.000579834,0
-0.00088501,0
-0.000854492,0
-0.00137329,0
-0.00234985,0
-0.00296021,0
-0.00332642,0
-0.00375366,0
-0.00421143,0
-0.00473022,0
-0.00494385,0
-0.00506592,0
-0.00524902,0
-0.00518799,0
-0.00476074,0
-0.00415039,0
-0.00363159,0
-0.00344849,0
-0.00311279,0
-0.00222778,0
-0.00170898,0
-0.00167847,0
-0.00152588,0
-0.00125122,0
-0.000793457,0
-0.000732422,0
-0.00100708,0
-0.000854492,0
-0.000305176,0
-3.05176e-05,0
-0.00012207,0
-0.000305176,0
-0.000183105,0
0.000213623,0
3.05176e-05,0
-0.000427246,0
-0.000488281,0
-0.000305176,0
-0.000518799,0
-0.000915527,0
-0.0010376,0
-0.00088501,0
-0.000915527,0
-0.000915527,0
-0.000823975,0
-0.000579834,0
-0.000457764,0
-0.000671387,0
-0.00109863,0
-0.00134277,0
-0.00149536,0
-0.00183105,0
-0.00238037,0
-0.00256348,0
-0.0022583,0
-0.00204468,0
-0.0022583,0
-0.00241089,0
-0.00222778,0
-0.00161743,0
-0.00119019,0
-0.00152588,0
-0.00177002,0
-0.0017395,0
-0.00146484,0
-0.00134277,0
-0.00131226,0
-0.00146484,0
-0.00115967,0
-0.00088501,0
-0.000427246,0
0.000335693,0
0.00131226,0
0.00183105,0
0.0020752,0
0.00244141,0
0.0032959,0
0.00378418,0
0.00375366,0
0.00338745,0
0.00314331,0
0.00296021,0
0.00268555,0
0.00201416,0
0.00164795,0
0.0015564,0
0.00146484,0
0.000915527,0
0.000457764,0
0.000488281,0
0.000640869,0
0.000549316,0
6.10352e-05,0
-0.000244141,0
-0.00012207,0
0.000183105,0
0.000305176,0
0.000244141,0
0.000396729,0
0.000610352,0
0.000823975,0
0.00106812,0
0.00134277,0
0.00164795,0
0.00143433,0
0.00100708,0
0.000823975,0
0.000946045,0
0.000976563,0
0.000427246,0
-3.05176e-05,0
-0.000152588,0
0.000183105,0
0.000488281,0
0.000762939,0
0.0010376,0
0.00180054,0
0.00253296,0
0.00292969,0
0.00320435,0
0.00387573,0
0.00457764,0
0.00485229,0
0.00476074,0
0.00476074,0
0.00488281,0
0.00509644,0
0.00485229,0
0.00439453,0
0.00396729,0
0.00363159,0
0.00305176,0
0.00250244,0
0.0022583,0
0.0020752,0
0.00149536,0
0.000793457,0
0.000396729,0
0.000518799,0
0.000488281,0
0.000366211,0
6.10352e-05,0
0.000213623,0
0.000610352,0
0.000762939,0
0.000579834,0
0.000701904,0
0.00109863,0
0.00140381,0
0.0012207,0
0.000915527,0
0.00088501,0
0.00100708,0
0.00088501,0
0.000518799,0
0.000183105,0
9.15527e-05,0
9.15527e-05,0
3.05176e-05,0
0,0
0.000152588,0
0.000335693,0
0.000274658,0
0.000274658,0
0.000854492,0
0.00143433,0
0.00161743,0
0.00152588,0
0.00158691,0
0.0020752,0
0.00247192,0
0.00234985,0
